player_name,,player_id,league_id,total_matches_played,total_innings_played,overs,maidens,runs,wickets,average,economy,strike_rate,,,
Moises Henriques,(,118,3,16,0,0,0,0,0,0,NULL,NULL,),"118, 3, 16, 0, 0, 0, 0, 0, 0, NULL, NULL","(118, 3, 16, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Moises Henriques"
Kurtis Patterson,(,112,3,13,0,0,0,0,0,0,NULL,NULL,),"112, 3, 13, 0, 0, 0, 0, 0, 0, NULL, NULL","(112, 3, 13, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Kurtis Patterson"
Josh Philippe,(,113,3,16,0,0,0,0,0,0,NULL,NULL,),"113, 3, 16, 0, 0, 0, 0, 0, 0, NULL, NULL","(113, 3, 16, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Josh Philippe"
Steven Smith,(,114,3,5,0,0,0,0,0,0,NULL,NULL,),"114, 3, 5, 0, 0, 0, 0, 0, 0, NULL, NULL","(114, 3, 5, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Steven Smith"
James Vince,(,15,3,10,0,0,0,0,0,0,NULL,NULL,),"15, 3, 10, 0, 0, 0, 0, 0, 0, NULL, NULL","(15, 3, 10, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- James Vince"
Ashton Agar,(,95,3,13,13,39,0,365,18,20.27,9.35,13,),"95, 3, 13, 13, 39, 0, 365, 18, 20.27, 9.35, 13","(95, 3, 13, 13, 39, 0, 365, 18, 20.27, 9.35, 13),  -- Ashton Agar"
Matthew Short,(,126,3,14,14,35.1,0,251,11,22.81,7.13,19.1,),"126, 3, 14, 14, 35.1, 0, 251, 11, 22.81, 7.13, 19.1","(126, 3, 14, 14, 35.1, 0, 251, 11, 22.81, 7.13, 19.1),  -- Matthew Short"
Rashid Khan,(,6,3,8,7,28,0,180,6,30,6.42,28,),"6, 3, 8, 7, 28, 0, 180, 6, 30, 6.42, 28","(6, 3, 8, 7, 28, 0, 180, 6, 30, 6.42, 28),  -- Rashid Khan"
Cameron Boyce,(,129,3,6,6,22,0,153,5,30.6,6.95,26.4,),"129, 3, 6, 6, 22, 0, 153, 5, 30.6, 6.95, 26.4","(129, 3, 6, 6, 22, 0, 153, 5, 30.6, 6.95, 26.4),  -- Cameron Boyce"
Ben Manenti,(,131,3,6,6,15.3,0,143,3,47.66,9.22,31,),"131, 3, 6, 6, 15.3, 0, 143, 3, 47.66, 9.22, 31","(131, 3, 6, 6, 15.3, 0, 143, 3, 47.66, 9.22, 31),  -- Ben Manenti"
Alex Carey,(,122,3,4,0,0,0,0,0,0,NULL,NULL,),"122, 3, 4, 0, 0, 0, 0, 0, 0, NULL, NULL","(122, 3, 4, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Alex Carey"
Travis Head,(,123,3,4,0,0,0,0,0,0,NULL,NULL,),"123, 3, 4, 0, 0, 0, 0, 0, 0, NULL, NULL","(123, 3, 4, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Travis Head"
Adam Hose,(,124,3,14,0,0,0,0,0,0,NULL,NULL,),"124, 3, 14, 0, 0, 0, 0, 0, 0, NULL, NULL","(124, 3, 14, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Adam Hose"
Chris Lynn,(,125,3,11,0,0,0,0,0,0,NULL,NULL,),"125, 3, 11, 0, 0, 0, 0, 0, 0, NULL, NULL","(125, 3, 11, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Chris Lynn"
